Transaction ID,Date and Time,Sender Account No.,Sender Country,Receiver Account No.,Amount,Week
BXLYE2043133775,6/1/2024 3:09,920681000000000.0,Iraq,57798471426,26.86,22
MSNUP7727640815,6/1/2024 3:09,460574000000000.0,Iran,64362226414,1840.69,22
IWIAL1381286018,6/1/2024 3:17,714014000000000.0,Yemen,22965533122,999.43,22
GLGUO8953591324,6/1/2024 3:18,105369000000000.0,Botswana,53733230761,1360.33,22
WHEOZ0543152234,6/1/2024 3:20,335664000000000.0,South Africa,13608045596,1206.02,22
TFPEP5241916385,6/1/2024 3:20,716123000000000.0,Bulgaria,63765607544,71.51,22
DXBWZ1885506875,6/1/2024 3:39,827770000000000.0,Sudan,56139399192,32.77,22
ZCJJA9370956496,6/1/2024 3:40,580050000000000.0,Cyprus,21218022892,1722.74,22
NFECN9326781464,6/1/2024 3:48,406576000000000.0,Germany,63108415255,1523.33,22
RQKIR2285490368,6/1/2024 3:53,972983000000000.0,New Zealand,68827179923,67.11,22
XFHBP8845332274,6/1/2024 3:53,377931000000000.0,Ireland,67435729510,1405.12,22
UFNEI9253532967,6/1/2024 3:55,811634000000000.0,Slovakia,69012933257,321.89,22
EUXFG6092928070,6/1/2024 4:01,458035000000000.0,Malta,66631326497,1281.47,22
FOACO9211013072,6/1/2024 4:09,626373000000000.0,Angola,53756717854,1122.9,22
GFQYD7344416458,6/1/2024 4:14,666876000000000.0,Cyprus,53600749017,1758.96,22
VFEDC9252546881,6/1/2024 4:15,833589000000000.0,Zambia,53410863955,1971.98,22
VQOGQ5757805894,6/1/2024 4:17,963383000000000.0,Zimbabwe,56840418455,751.49,22
ASHLB8112499128,6/1/2024 4:18,393656000000000.0,Sri Lanka,57905022185,722.72,22
EACDA4804618558,6/1/2024 4:20,481739000000000.0,Yemen,59519745413,1046.62,22
ZTTZB7231144508,6/1/2024 4:25,552694000000000.0,Pakistan,66826541954,1386.04,22
ZZAOI1616536203,6/1/2024 4:39,47671800000000.0,Luxembourg,53994642571,1488.99,22
SOKDM4552497604,6/1/2024 4:46,782119000000000.0,Croatia,57543243806,100.23,22
YSKVR4106981895,6/1/2024 4:52,971401000000000.0,Belgium,27692688083,1480.07,22
WHRRK9197700223,6/1/2024 4:54,79762700000000.0,Hong Kong,56064969167,663.77,22
OSYFE7227097768,6/1/2024 4:56,794256000000000.0,Bangladesh,67275799636,32.63,22
TKRKX2433058679,6/1/2024 5:01,668359000000000.0,Luxembourg,66651335861,156.78,22
ZBINL0608060062,6/1/2024 5:01,892394000000000.0,China,57622921464,1911.17,22
MQHOO9878296422,6/1/2024 5:02,335119000000000.0,Pakistan,53622003929,260.97,22
IXLTA2432194275,6/1/2024 5:04,331987000000000.0,Namibia,28089133010,1278.56,22
ZLIAU6137537207,6/1/2024 5:11,608989000000000.0,El Salvador,63279319685,1925.88,22
VUUWO3014258851,6/1/2024 5:16,819217000000000.0,Syria,56927940726,299.05,22
OOZJJ2799755441,6/1/2024 5:17,772475000000000.0,Slovenia,67428746846,1390.88,22
WRMGK3421619924,6/1/2024 5:23,591061000000000.0,Tunisia,66325280254,1701.22,22
MEGNJ7739800239,6/1/2024 5:26,917569000000000.0,Bhutan,56348845112,1260.9,22
XUDNF4371583588,6/1/2024 5:36,862696000000000.0,Singapore,53137113023,678.71,22
BZMOQ6487189194,6/1/2024 5:45,199841000000000.0,Colombia,19633750629,1414.74,22
UBYHD6954081779,6/1/2024 5:50,260445000000000.0,Cyprus,57594734663,108.84,22
DHHGW1996025722,6/1/2024 5:50,830550000000000.0,Dominican Republic,63561289452,1859.05,22
EKQIN1785505220,6/1/2024 5:55,833500000000000.0,Fiji,53287773180,757.33,22
UFTKJ9110982583,6/1/2024 5:56,111965000000000.0,Colombia,66648590112,1732.36,22
TDUEE7877541938,6/1/2024 5:59,484488000000000.0,Philippines,56077482283,695.81,22
IZTLG2163070791,6/1/2024 6:04,602679000000000.0,Bhutan,32590098451,1098.24,22
ZRQHR1460061485,6/1/2024 6:04,598067000000000.0,Morocco,37152356489,811.93,22
JNGNM4239030445,6/1/2024 6:06,488348000000000.0,Switzerland,56070658203,1157.62,22
ERJMH0901928546,6/1/2024 6:06,117594000000000.0,Uganda,15038813236,1507.8,22
TEJHN8449472989,6/1/2024 6:06,561699000000000.0,Italy,63320966877,156.05,22
EHMHQ5445367279,6/1/2024 6:07,311596000000000.0,Bangladesh,35198536409,1639.9,22
KHELF3630340525,6/1/2024 6:09,692809000000000.0,Belgium,67322770258,673.9,22
VCHIA0821406796,6/1/2024 6:11,314616000000000.0,Norway,66440201456,1183.74,22
DMITN6893154705,6/1/2024 6:18,575499000000000.0,Zambia,56791782526,982.33,22
ZCFRP0901480486,6/1/2024 6:24,339497000000000.0,USA,53744976052,1014.88,22
DMIPS5003829695,6/1/2024 6:32,405593000000000.0,Thailand,29082421992,704.29,22
MLRPN2845406869,6/1/2024 6:36,199841000000000.0,Colombia,56491445439,1560.82,22
IVUVQ0730626459,6/1/2024 6:42,567585000000000.0,Netherlands,65433463173,697.71,22
DQGEY5886086643,6/1/2024 6:45,665773000000000.0,Oman,63617485746,1257.97,22
TXPYV1232185569,6/1/2024 6:49,635340000000000.0,Australia,66425582758,225.71,22
TMTFI8858900139,6/1/2024 6:49,974634000000000.0,Libya,56874482675,45.8,22
VSGNG4333698530,6/1/2024 6:50,168677000000000.0,Maldives,56053067495,1290.08,22
ZXQRI4435253311,6/1/2024 6:58,175780000000000.0,Czech Republic,67569438888,195.17,22
STKGP4466528564,6/1/2024 6:58,873772000000000.0,Nepal,53445867534,1896.42,22
DXSNJ0547523599,6/1/2024 7:02,110871000000000.0,Angola,23663699128,187.56,22
NIIHZ6531703251,6/1/2024 7:04,91304400000000.0,Czech Republic,67556958563,1579.84,22
VPKGX0020476997,6/1/2024 7:04,41834500000000.0,Cambodia,56963702154,119.79,22
HCCLZ6072234358,6/1/2024 7:14,341311000000000.0,Iran,63955366533,979.39,22
NCVVB9661785250,6/1/2024 7:24,752375000000000.0,Afghanistan,60595283967,203.85,22
PYHWG6770062223,6/1/2024 7:31,109717000000000.0,Bulgaria,50155785505,64.42,22
PSGRJ5465343274,6/1/2024 7:32,575091000000000.0,Cyprus,29663601516,857.19,22
XZHKN5659333638,6/1/2024 7:35,389511000000000.0,Denmark,56560255927,1223.74,22
KJVUM7586767816,6/1/2024 7:37,807799000000000.0,Hong Kong,63890026443,515.7,22
XINNQ5914965159,6/1/2024 7:37,126459000000000.0,Netherlands,58642710567,937.81,22
ABAQT6226566637,6/1/2024 7:37,122082000000000.0,Bangladesh,36122356171,1319.91,22
JFSOW8381850519,6/1/2024 7:37,534591000000000.0,Hong Kong,57643146207,1370.7,22
ETCQP4818509596,6/1/2024 7:39,933600000000000.0,Belgium,53730881810,1637.58,22
QZDKU9929790926,6/1/2024 7:47,537670000000000.0,Croatia,31272459624,925.81,22
AIKVL0202016671,6/1/2024 7:55,344504000000000.0,Bangladesh,24280246123,1031.6,22
CTHRP1626534826,6/1/2024 8:04,643899000000000.0,Sri Lanka,56916463899,1456.25,22
JJCXL0319668077,6/1/2024 8:05,747597000000000.0,Poland,62332156332,174.46,22
ZKBDK9085695794,6/1/2024 8:09,999232000000000.0,Costa Rica,50349904003,694.25,22
TNDGQ0848800444,6/1/2024 8:13,325044000000000.0,Malaysia,37826016447,120.33,22
NWZPX7527268718,6/1/2024 8:13,696379000000000.0,Libya,63054204513,1925.32,22
XPBMR9305282945,6/1/2024 8:20,597175000000000.0,Ireland,33153421399,419.17,22
RIZRM1832851989,6/1/2024 8:21,219401000000000.0,Cambodia,66602128859,1223.94,22
RYNIK2341950503,6/1/2024 8:24,506674000000000.0,Namibia,56555175255,201.04,22
KEROW6276560705,6/1/2024 8:26,346666000000000.0,Uganda,67181512736,1152.88,22
OMVRG6186804924,6/1/2024 8:27,456420000000000.0,Belgium,56882998657,968.33,22
MEAHU9774807297,6/1/2024 8:28,398459000000000.0,South Africa,53650582122,230.87,22
ICRGM3121889305,6/1/2024 8:34,594248000000000.0,UK,63706825532,1359.04,22
ABEWI3503660404,6/1/2024 8:34,238191000000000.0,Uganda,14337644260,1644.68,22
ZBPKZ5988809279,6/1/2024 8:46,923930000000000.0,Serbia,55730347372,1061.05,22
IOIUQ0035970830,6/1/2024 8:50,632676000000000.0,Netherlands,37076655539,411.22,22
BGSHX9903189789,6/1/2024 8:51,738876000000000.0,Uganda,66447938642,1305.41,22
MVTSL2552171756,6/1/2024 8:57,215511000000000.0,Estonia,15987989153,680.38,22
JPTRD8549603804,6/1/2024 8:58,933256000000000.0,Lebanon,63686886786,1574.53,22
DKPPP7624323713,6/1/2024 9:00,484488000000000.0,Philippines,56469882101,883.63,22
WIUPV9343433212,6/1/2024 9:01,979156000000000.0,Germany,67715881751,977.7,22
ZHHZN6306562230,6/1/2024 9:05,982613000000000.0,Germany,67110725050,1870.29,22
XREFY7021539155,6/1/2024 9:09,826497000000000.0,Germany,56399691201,241.65,22
AKMTT9601769496,6/1/2024 9:19,927638000000000.0,Indonesia,66526560461,1411.3,22
GRASN5575978813,6/1/2024 9:21,412888000000000.0,Romania,66048726795,1004.46,22
SKJDQ7365965980,6/1/2024 9:21,116806000000000.0,Ireland,56270339727,773.12,22
SISYN7682054867,6/1/2024 9:25,221044000000000.0,Bahrain,63541191258,824.12,22
XADZR5034161579,6/1/2024 9:31,20004700000000.0,Slovakia,56789665163,598.12,22
HFRIO8304821497,6/1/2024 9:35,331159000000000.0,Bhutan,56320369023,1304.07,22
PJYMR4416479854,6/1/2024 9:35,623636000000000.0,Slovenia,67642414304,13.0,22
RVHVN6019480345,6/1/2024 9:37,580907000000000.0,Oman,30673351102,1258.79,22
QEFXC5843974527,6/1/2024 9:41,706057000000000.0,UAE,56088738702,1423.99,22
IKRLV5620084014,6/1/2024 9:42,354449000000000.0,Brazil,56656405922,1417.79,22
KPXRN1961114591,6/1/2024 9:43,352724000000000.0,Cuba,56942967346,1627.23,22
XNMWR1290227422,6/1/2024 9:44,652256000000000.0,El Salvador,63667094808,449.7,22
UZGZH2159703762,6/1/2024 9:44,514742000000000.0,Czech Republic,57615419312,925.83,22
AICBV0659000117,6/1/2024 9:46,450478000000000.0,Austria,66139321757,1914.72,22
SQVBI4390735143,6/1/2024 9:47,505268000000000.0,Sudan,63538480031,1419.72,22
DMNUJ2007105864,6/1/2024 9:47,277230000000000.0,Israel,69883229731,757.1,22
MZBYM4399240145,6/1/2024 9:52,717058000000000.0,Ukraine,66200798405,1258.87,22
TUVSX2580045648,6/1/2024 9:56,566799000000000.0,El Salvador,63085845331,1658.74,22
ULVKW3262555352,6/1/2024 9:56,754768000000000.0,Tanzania,56637282991,404.25,22
QDRDS1381365131,6/1/2024 9:57,348671000000000.0,Malaysia,53384743258,1580.13,22
NMSNC7751488605,6/1/2024 10:01,317990000000000.0,Afghanistan,63871334364,1987.08,22
DWADL3231527007,6/1/2024 10:06,973327000000000.0,Singapore,57168866048,853.79,22
XJOGW5133439210,6/1/2024 10:21,314505000000000.0,Chile,55463733864,1229.12,22
FEDGN4680675610,6/1/2024 10:26,959427000000000.0,Panama,66101339401,362.14,22
PWJBK5133966241,6/1/2024 10:33,65828100000000.0,Slovakia,18055663164,822.88,22
IVGNY4472170358,6/1/2024 10:37,344080000000000.0,Costa Rica,56522172564,299.61,22
VLXUP2001624883,6/1/2024 10:44,805031000000000.0,Cuba,68141959161,1370.18,22
YSPUJ9827401316,6/1/2024 10:44,550637000000000.0,Luxembourg,56186024887,1717.65,22
BZYVI5600986154,6/1/2024 10:47,42738800000000.0,Cambodia,66606616160,1263.7,22
PWNWJ9279461176,6/1/2024 10:47,216622000000000.0,Nepal,56376170420,1222.91,22
QZNNM9682007960,6/1/2024 10:51,25990100000000.0,Bangladesh,66848625809,325.0,22
OEBCY3974994075,6/1/2024 10:52,133187000000000.0,Slovakia,63875561218,1105.1,22
DXYSS0580457440,6/1/2024 10:54,706057000000000.0,UAE,57291895722,1122.2,22
PVAEG1550350174,6/1/2024 11:03,1518380000000.0,Uganda,56087857534,1150.76,22
YERSM7012659741,6/1/2024 11:05,866353000000000.0,Nepal,66264242170,1207.49,22
RKAWE8033336416,6/1/2024 11:07,651270000000000.0,Kenya,66279922033,833.75,22
QWDRV3761849589,6/1/2024 11:13,257201000000000.0,Libya,63448970703,242.72,22
CERJI9461900811,6/1/2024 11:14,136505000000000.0,Maldives,57609600929,222.48,22
DIIFH6311978104,6/1/2024 11:26,300301000000000.0,New Zealand,56900412505,1127.77,22
GNXJY1044291223,6/1/2024 11:32,6897410000000.0,Panama,29082421992,1877.04,22
QUFSQ8509264467,6/1/2024 11:36,307025000000000.0,Saudi Arabia,23507296862,1653.1,22
CCQEX5894738855,6/1/2024 11:37,699553000000000.0,Maldives,66149959340,1668.82,22
AQDUQ7749804187,6/1/2024 11:38,406244000000000.0,Italy,67497959688,48.78,22
XBEUK5489466749,6/1/2024 11:46,303703000000000.0,Vietnam,57860683457,670.7,22
QAUAS1485546921,6/1/2024 11:48,135956000000000.0,Romania,53499801282,987.94,22
NWPDD1056533473,6/1/2024 12:03,447935000000000.0,Mexico,11734315172,798.57,22
HDMRW3119911700,6/1/2024 12:06,968869000000000.0,Cuba,61175344648,1042.86,22
YVFQI5686833008,6/1/2024 12:09,20106500000000.0,Tanzania,58984950637,918.76,22
ONQNZ8980551336,6/1/2024 12:14,254339000000000.0,Panama,63890587640,537.93,22
CPPPM7024125812,6/1/2024 12:27,98131500000000.0,Nepal,30940559479,1594.98,22
OTDKZ9513932152,6/1/2024 12:29,419747000000000.0,Norway,55959982794,1036.79,22
FEISZ5571513021,6/1/2024 12:34,287255000000000.0,Ireland,63863797387,345.95,22
FDUPA5365348793,6/1/2024 12:38,647649000000000.0,South Korea,67232067187,633.82,22
YUQMC7102311538,6/1/2024 12:46,265352000000000.0,Croatia,53757429784,1170.48,22
IFPQA8423791792,6/1/2024 12:49,440875000000000.0,Kuwait,67159397590,357.53,22
GNXPW4411491313,6/1/2024 12:54,971985000000000.0,Pakistan,60502918893,240.21,22
YXGXQ8077471268,6/1/2024 12:58,629270000000000.0,Canada,67537335151,424.4,22
TQQTP7557909941,6/1/2024 13:02,173999000000000.0,Mongolia,30023413484,1526.64,22
TFDTH5401416727,6/1/2024 13:05,31381500000000.0,Greece,25722375396,1122.24,22
DZPNF1697302745,6/1/2024 13:12,821603000000000.0,Uganda,53335061158,1696.2,22
KCFQS0818872559,6/1/2024 13:14,606006000000000.0,Switzerland,66784450523,953.87,22
AWQGQ6635845665,6/1/2024 13:14,948841000000000.0,Libya,56692725882,222.98,22
DGQYX4921579389,6/1/2024 13:15,654489000000000.0,Zimbabwe,56353357225,1711.04,22
GAFAV8734164150,6/1/2024 13:16,771647000000000.0,Zambia,54134331517,1740.09,22
DZMCR9429786211,6/1/2024 13:16,339560000000000.0,Argentina,65610959051,1407.94,22
AWZLB1946825877,6/1/2024 13:18,196177000000000.0,Qatar,53608035235,1103.49,22
CJQJT7162599279,6/1/2024 13:23,12251400000000.0,Panama,67443486193,1059.67,22
PWEOO7391326022,6/1/2024 13:26,470096000000000.0,Kuwait,63054332264,1946.74,22
KTFRD9102121061,6/1/2024 13:33,960749000000000.0,Portugal,67017166829,1742.93,22
SFGZJ5976028756,6/1/2024 13:43,238677000000000.0,Lebanon,67831755380,1933.17,22
DIQTK6203575721,6/1/2024 13:47,493677000000000.0,Uganda,18711586017,657.83,22
NAOGD9911787524,6/1/2024 13:49,563274000000000.0,Finland,63039186708,32.0,22
BXUOK6540713588,6/1/2024 13:50,821600000000000.0,Australia,53288269669,1355.18,22
OXXXO0169554358,6/1/2024 13:52,718148000000000.0,Yemen,67112902225,665.09,22
LPDSE3980941881,6/1/2024 13:53,128745000000000.0,Kenya,56477257682,1288.58,22
ZMNYZ4502403596,6/1/2024 13:53,943875000000000.0,Egypt,21612384722,115.16,22
LPRAU3389083822,6/1/2024 13:54,465299000000000.0,Uganda,56282657304,1731.34,22
WTWKU5207265238,6/1/2024 14:00,347644000000000.0,Venezuela,56997094213,1536.39,22
FSIVM3038366719,6/1/2024 14:02,534591000000000.0,Hong Kong,67287534954,462.14,22
AMLBR6586102596,6/1/2024 14:03,533756000000000.0,Costa Rica,35022409509,1911.46,22
HLIUJ2382943646,6/1/2024 14:04,763391000000000.0,Canada,69164548452,1773.08,22
NNEUK9967482693,6/1/2024 14:18,442660000000.0,Finland,53507234869,1319.56,22
AZWVD8704882538,6/1/2024 14:27,813725000000000.0,Chile,56951631707,279.81,22
FYYCX4398939599,6/1/2024 14:28,259841000000000.0,Afghanistan,56660856263,389.47,22
XZOQN7299232029,6/1/2024 14:29,735452000000000.0,France,53647383904,746.29,22
SCEHI0775244644,6/1/2024 14:30,524968000000000.0,Nigeria,56108572224,1447.53,22
UJWVG6635664802,6/1/2024 14:34,359446000000000.0,Philippines,57184916399,677.14,22
SIOXB2523976692,6/1/2024 14:42,230210000000000.0,Yemen,20244192585,858.56,22
CGDKE2373280465,6/1/2024 14:52,785175000000000.0,Indonesia,53594853049,246.66,22
THTFC9114134504,6/1/2024 14:54,81276300000000.0,Zimbabwe,53577854732,1071.5,22
OZKBZ7404882741,6/1/2024 14:57,354613000000000.0,Czech Republic,36586301173,1278.87,22
LTLQY0237453166,6/1/2024 14:59,986573000000000.0,Nigeria,15366283859,152.19,22
CFVHP1980782159,6/1/2024 15:01,786892000000000.0,Sri Lanka,67883519609,303.13,22
XSZJJ7931424398,6/1/2024 15:06,567907000000000.0,Mongolia,53477068095,772.6,22
QKJJW0652111945,6/1/2024 15:07,947851000000000.0,UAE,67125361174,449.52,22
XOZNY6903416828,6/1/2024 15:15,208556000000000.0,Ecuador,36317699906,918.69,22
HBTRE0806910740,6/1/2024 15:18,738488000000000.0,Vietnam,28156852622,1100.16,22
HJSCI6262388411,6/1/2024 15:24,391534000000000.0,Spain,10160359739,1879.55,22
VBCRS1171875072,6/1/2024 15:25,727062000000000.0,Cambodia,22583434886,765.64,22
CWOCA7375590028,6/1/2024 15:28,56373500000000.0,Canada,66264785336,1009.58,22
KFLKP3250497777,6/1/2024 15:32,698046000000000.0,Singapore,57413308987,133.19,22
HKPJS1180539594,6/1/2024 15:32,593990000000000.0,Ireland,56398251604,1175.41,22
MXHVA0406107555,6/1/2024 15:41,579994000000000.0,Angola,57882981283,1292.09,22
FLONK4744096865,6/1/2024 15:47,772414000000000.0,Costa Rica,56989804476,419.4,22
ZSKHO2867859809,6/1/2024 15:49,368348000000000.0,Sweden,56367450788,165.53,22
SJUUX0789248655,6/1/2024 15:51,710598000000000.0,Austria,18042004643,594.13,22
NNXWG7574469996,6/1/2024 15:59,159304000000000.0,Fiji,63768298391,908.46,22
ACYXF7823218494,6/1/2024 16:01,101244000000000.0,Peru,60345541091,856.64,22
TPDVB0617622118,6/1/2024 16:04,870118000000000.0,Peru,67435729510,504.6,22
CLTWE1885188938,6/1/2024 16:08,325840000000000.0,Peru,66653443969,1489.26,22
CWXIC2175841044,6/1/2024 16:08,245538000000000.0,Cuba,67891360463,1467.34,22
WDBAY1063506163,6/1/2024 16:11,309228000000000.0,Israel,56897362962,947.32,22
CCOMW0924464858,6/1/2024 16:11,165962000000000.0,Italy,13746617901,952.25,22
AKCKE6169509449,6/1/2024 16:12,161103000000000.0,Ukraine,63578399131,1011.68,22
RJBCU1674602663,6/1/2024 16:20,642716000000000.0,Colombia,63588772072,1034.97,22
ONBLO8224378080,6/1/2024 16:24,317739000000000.0,Afghanistan,67011856897,505.49,22
SXNSM9404935258,6/1/2024 16:26,414928000000000.0,UK,57061436664,912.86,22
TFUQX0238730323,6/1/2024 16:26,565489000000000.0,Lebanon,36303250293,1986.08,22
JCJZT8785312042,6/1/2024 16:34,650584000000000.0,Cambodia,61499456035,1178.28,22
OFORX8517371974,6/1/2024 16:35,832807000000000.0,Cuba,68247772997,1469.89,22
DGBKO7452034976,6/1/2024 16:40,1518380000000.0,Uganda,19104036259,150.93,22
IPDMM8043194137,6/1/2024 17:01,78446700000000.0,Tanzania,57240117030,579.05,22
VFANH1565066454,6/1/2024 17:02,954296000000000.0,Serbia,67866851005,889.57,22
USWGG2004883872,6/1/2024 17:06,465299000000000.0,Uganda,63415930937,897.69,22
MSFDS5985531635,6/1/2024 17:07,387239000000000.0,Italy,66084256333,858.71,22
FSAYY5963199155,6/1/2024 17:09,546230000000000.0,New Zealand,63836229987,1076.68,22
MQUHW2023440137,6/1/2024 17:12,141829000000000.0,Maldives,53651722640,1083.25,22
PXESY6090407308,6/1/2024 17:13,281025000000000.0,Bulgaria,67893979029,692.79,22
WLMYM4909044579,6/1/2024 17:16,456001000000000.0,Angola,68836304225,213.09,22
FQABC3105849090,6/1/2024 17:18,396335000000000.0,Peru,53018214298,1888.57,22
KOBCW3911044681,6/1/2024 17:19,4873140000000.0,Canada,51892641157,1133.32,22
ONWHR8762884405,6/1/2024 17:36,309014000000000.0,Panama,56446690919,1968.64,22
GAJCC7182947591,6/1/2024 17:38,518683000000000.0,Afghanistan,63116364691,1579.16,22
QJVEH8242413237,6/1/2024 17:42,832807000000000.0,Cuba,68244968588,977.89,22
HXNHC0505864078,6/1/2024 17:45,815068000000000.0,Iran,19329229477,1888.59,22
FVFEY6450532712,6/1/2024 17:50,197654000000000.0,Bangladesh,21958740899,208.56,22
NIHSP5397395784,6/1/2024 17:53,411091000000000.0,Iran,63987494716,516.43,22
KBHOQ6012989701,6/1/2024 17:59,733790000000000.0,Slovakia,66206278151,1127.71,22
EAUQQ8081321722,6/1/2024 18:00,532166000000000.0,Uganda,67983841905,1089.24,22
UFEYM4923481009,6/1/2024 18:07,360858000000000.0,South Africa,66084448738,1001.94,22
RGGHS8354978458,6/1/2024 18:10,539456000000000.0,Israel,63207328954,1299.54,22
CGRTR3984487519,6/1/2024 18:16,688431000000000.0,Estonia,53218461626,1486.0,22
MQESZ9033060857,6/1/2024 18:32,260464000000000.0,Czech Republic,66144782654,537.07,22
PONWE7184819445,6/1/2024 18:33,952726000000000.0,Fiji,57002204191,648.33,22
XHDJQ3436621488,6/1/2024 18:36,645690000000000.0,Hong Kong,17618343887,248.1,22
CDUHR1219474854,6/1/2024 18:38,954618000000000.0,Czech Republic,67194005587,1121.06,22
GDHRJ2517037713,6/1/2024 18:51,94631700000000.0,Egypt,24779508139,1760.32,22
JAEWD1231891894,6/1/2024 18:53,706452000000000.0,Cambodia,36060357038,1148.82,22
NLTEO6449392698,6/1/2024 19:03,973350000000000.0,USA,66206594634,873.14,22
BYZDE2389960232,6/1/2024 19:05,268264000000000.0,Hong Kong,56693874284,698.16,22
EMLII2349714617,6/1/2024 19:06,390815000000000.0,Iraq,37322129164,191.65,22
GYWYR9039983232,6/1/2024 19:06,510311000000000.0,Turkey,53376395898,917.96,22
EYBXY3117350906,6/1/2024 19:11,513773000000000.0,Egypt,53716551861,1416.3,22
FOAZY7497219568,6/1/2024 19:13,520822000000000.0,Hong Kong,63421933186,1591.86,22
WPXCR5350426841,6/1/2024 19:21,393154000000000.0,Fiji,63774121584,851.38,22
ASQKS4672136593,6/1/2024 19:28,516706000000000.0,Yemen,56293714893,978.46,22
UMUPK3099689537,6/1/2024 19:28,627748000000000.0,Denmark,57717794020,73.11,22
TZNKN8147937544,6/1/2024 19:31,89047300000000.0,Poland,10406880620,629.93,22
NVYFB0961246681,6/1/2024 19:33,782437000000000.0,Sri Lanka,57389650586,1881.41,22
BEDZH8635699397,6/1/2024 19:34,725380000000000.0,Saudi Arabia,68232807147,1947.52,22
